location,address,city,state,zip,phone,detail,hours,group,services,url_q
Erie County Sheriff's Office,10 Delaware Ave.,Buffalo,NY,14202,716-858-6305 ,Lobby,,Erie County Public Sites,Prescription drugs and used needles,10%20Delaware%20Ave.%2C%20Buffalo%20NY%2014202
Grand Island Town Hall,2255 Baseline Road,Grand Island,NY,14072,716-773-9600,Lobby,,Erie County Public Sites,Prescription drugs and used needles,2255%20Baseline%20Road%2C%20Grand%20Island%20NY%2014072
Colden Town Hall,8812 State Rd,Colden,NY,14033,716-941-5012,Town Hall Lobby,,Erie County Public Sites,Prescription drugs and used needles,8812%20State%20Rd%2C%20Colden%20NY%2014033
Clarence Substation,6185 Goodrich Road,Clarence,NY,14031,716-858-2903,,,Erie County Public Sites,Prescription drugs and used needles,6185%20Goodrich%20Road%2C%20Clarence%20NY%2014031
Elma Town Hall,116 Bowen Rd,Elma,NY,14059,716-652-3260,Town Hall Lobby,,Erie County Public Sites,Prescription drugs and used needles,116%20Bowen%20Rd%2C%20Elma%20NY%2014059
Hamburg Town Police Station,6100 South Park Avenue,Hamburg,NY,14075,716-648-5111,Station Lobby,,Erie County Public Sites,Prescription drugs and used needles,6100%20South%20Park%20Avenue%2C%20Hamburg%20NY%2014075
Springville Town Hall,65 Franklin Street,Springville,NY,14141,716-592-4936,Sheriff's Substation,,Erie County Public Sites,Prescription drugs and used needles,65%20Franklin%20Street%2C%20Springville%20NY%2014141
Buffalo Police Department - A District,1847 South Park Avenue,Buffalo,NY,14220,851-4415,Lobby,,Buffalo Police Department,Prescription drugs and used needles,1847%20South%20Park%20Avenue%2C%20Buffalo%20NY%2014220
Buffalo Police Department - B District,695 Main Street,Buffalo,NY,14203,851-4444,Lobby,,Buffalo Police Department,Prescription drugs and used needles,695%20Main%20Street%2C%20Buffalo%20NY%2014203
Buffalo Police Department - C District,693 East Ferry,Buffalo,NY,14211,851-4412,Lobby,,Buffalo Police Department,Prescription drugs and used needles,693%20East%20Ferry%2C%20Buffalo%20NY%2014211
Buffalo Police Department - D District,669 Hertel Avenue,Buffalo,NY,14213,851-4413,Lobby,,Buffalo Police Department,Prescription drugs and used needles,669%20Hertel%20Avenue%2C%20Buffalo%20NY%2014213
